PCON11CD,PCON11NM,Area Sq Km,Mid-2018,Mid-2017,Mid-2016,Mid-2015,Mid-2018 ,Mid-2017,Mid-2016,Mid-2015
E14000744,Hertford and Stortford,157,"114,426","113,894","113,236","112,240",731,727,723,717
E14000745,Hertsmere,101,"104,205","104,031","103,705","103,157","1,030","1,029","1,025","1,020"
E14000746,Hexham,"2,427","77,334","77,272","76,900","76,447",32,32,32,31
E14000747,Heywood and Middleton,73,"107,269","106,600","105,919","105,187","1,478","1,469","1,460","1,449"
E14000748,High Peak,539,"92,221","92,063","91,720","91,523",171,171,170,170
E14000749,Hitchin and Harpenden,256,"104,025","103,624","103,671","103,089",406,404,405,402
E14000750,Holborn and St Pancras,13,"159,344","154,210","152,008","148,970","12,078","11,688","11,522","11,291"
E14000751,Hornchurch and Upminster,58,"111,035","110,402","109,296","107,541","1,926","1,915","1,896","1,866"
E14000752,Hornsey and Wood Green,16,"128,616","128,655","129,982","129,109","7,819","7,821","7,902","7,849"
E14000753,Horsham,344,"113,486","111,853","110,271","108,198",330,325,320,314
E14000754,Houghton and Sunderland South,66,"87,921","87,575","87,638","87,473","1,336","1,331","1,332","1,329"
E14000755,Hove,24,"103,793","103,177","102,118","102,145","4,335","4,310","4,265","4,266"
E14000756,Huddersfield,47,"100,991","100,197","99,246","98,631","2,147","2,130","2,109","2,096"
E14000757,Huntingdon,329,"120,029","119,679","118,726","117,944",365,364,361,359
E14000758,Hyndburn,90,"92,808","92,364","92,211","91,842","1,028","1,023","1,022","1,017"
E14000759,Ilford North,29,"110,544","109,618","109,531","108,816","3,812","3,780","3,777","3,752"
E14000760,Ilford South,16,"145,537","144,360","143,797","141,533","9,282","9,207","9,171","9,026"
E14000761,Ipswich,32,"113,666","114,348","114,102","113,187","3,605","3,627","3,619","3,590"
E14000762,Isle of Wight,380,"141,538","140,984","140,264","139,763",373,371,369,368
E14000763,Islington North,7,"117,709","116,074","114,943","113,131","15,949","15,727","15,574","15,329"
E14000764,Islington South and Finsbury,7,"121,433","118,926","117,112","114,376","16,243","15,907","15,665","15,299"
E14000765,Jarrow,47,"83,483","82,979","83,233","83,001","1,767","1,756","1,762","1,757"
E14000766,Keighley,164,"97,486","97,371","97,549","97,488",593,592,593,593
E14000767,Kenilworth and Southam,618,"84,290","83,252","82,641","82,823",136,135,134,134
E14000768,Kensington,9,"113,645","113,446","114,279","115,243","12,679","12,656","12,749","12,857"
E14000769,Kettering,233,"101,266","100,252","98,947","97,605",434,429,424,418
E14000770,Kingston and Surbiton,28,"127,292","127,264","126,989","125,386","4,487","4,486","4,477","4,420"
E14000771,Kingston upon Hull East,29,"90,062","90,986","91,555","91,635","3,143","3,175","3,195","3,197"
E14000772,Kingston upon Hull North,25,"98,400","97,969","96,827","95,841","3,971","3,954","3,908","3,868"
E14000773,Kingston upon Hull West and Hessle,24,"87,308","86,690","86,457","85,908","3,679","3,653","3,643","3,620"
E14000774,Kingswood,43,"91,691","91,234","91,251","90,138","2,126","2,115","2,116","2,090"
E14000775,Knowsley,54,"106,630","105,786","105,338","104,651","1,967","1,952","1,944","1,931"
E14000776,Lancaster and Fleetwood,438,"91,595","90,139","88,892","88,034",209,206,203,201
E14000777,Leeds Central,41,"155,749","152,847","150,084","146,360","3,803","3,732","3,665","3,574"
E14000778,Leeds East,34,"101,144","99,969","98,948","97,448","3,003","2,968","2,938","2,893"
E14000779,Leeds North East,39,"92,566","92,604","92,979","92,984","2,344","2,345","2,355","2,355"
E14000780,Leeds North West,62,"86,170","86,016","85,805","84,864","1,387","1,385","1,381","1,366"
E14000781,Leeds West,30,"94,444","94,030","93,885","93,383","3,123","3,109","3,104","3,087"
E14000782,Leicester East,23,"116,608","116,911","115,839","114,322","5,007","5,020","4,974","4,909"
E14000783,Leicester South,21,"129,396","127,672","126,171","123,467","6,108","6,027","5,956","5,828"
E14000784,Leicester West,29,"109,214","108,957","107,503","106,247","3,783","3,774","3,724","3,680"
E14000785,Leigh,67,"105,408","104,932","104,723","104,109","1,572","1,565","1,562","1,552"
E14000786,Lewes,371,"93,324","92,793","92,435","91,499",252,250,249,247
E14000787,Lewisham East,15,"110,912","110,260","109,791","108,431","7,508","7,464","7,432","7,340"
E14000788,Lewisham West and Penge,16,"115,741","114,967","114,377","113,528","7,299","7,250","7,213","7,159"
E14000789,"Lewisham, Deptford",12,"126,489","125,190","123,526","121,387","10,510","10,402","10,264","10,086"
E14000790,Leyton and Wanstead,15,"110,744","110,795","110,201","109,275","7,233","7,236","7,197","7,137"
E14000791,Lichfield,326,"96,439","95,785","95,204","94,906",296,294,292,291
E14000792,Lincoln,64,"112,662","111,942","110,695","109,827","1,763","1,752","1,732","1,719"
E14000793,"Liverpool, Riverside",24,"135,228","131,888","128,935","124,583","5,616","5,478","5,355","5,174"
E14000794,"Liverpool, Walton",20,"92,084","92,439","92,732","92,350","4,659","4,677","4,692","4,672"
E14000795,"Liverpool, Wavertree",17,"95,353","95,210","94,490","93,370","5,581","5,573","5,531","5,465"
E14000796,"Liverpool, West Derby",21,"93,177","93,045","92,492","91,729","4,519","4,513","4,486","4,449"
E14000797,Loughborough,131,"109,106","107,916","105,927","104,496",836,826,811,800
E14000798,Louth and Horncastle,"1,376","100,022","99,323","98,490","97,830",73,72,72,71
E14000799,Ludlow,"1,555","86,615","86,265","85,767","85,621",56,55,55,55
E14000800,Luton North,19,"100,602","101,258","102,596","102,081","5,355","5,390","5,462","5,434"
E14000801,Luton South,56,"119,912","119,759","119,606","117,746","2,149","2,147","2,144","2,111"
E14000802,Macclesfield,302,"93,375","93,692","93,771","93,472",309,311,311,310
E14000803,Maidenhead,183,"106,731","106,307","105,688","104,668",582,580,576,571
E14000804,Maidstone and The Weald,224,"109,591","108,642","107,227","106,243",490,486,479,475
E14000805,Makerfield,56,"100,449","100,385","100,044","99,690","1,798","1,797","1,791","1,785"
E14000806,Maldon,373,"91,873","91,364","90,839","90,115",247,245,244,242
E14000807,Manchester Central,28,"162,656","158,529","154,186","147,224","5,714","5,569","5,417","5,172"
E14000808,"Manchester, Gorton",17,"119,184","119,476","119,242","116,933","6,897","6,914","6,900","6,767"
E14000809,"Manchester, Withington",19,"99,133","100,773","101,653","100,777","5,133","5,218","5,263","5,218"
E14000810,Mansfield,77,"108,841","108,576","107,880","106,780","1,419","1,416","1,407","1,392"
E14000811,Meon Valley,402,"95,119","94,535","93,860","93,191",237,235,233,232
E14000812,Meriden,146,"112,560","111,675","110,586","110,055",773,767,760,756
E14000813,Mid Bedfordshire,458,"112,185","110,736","109,284","107,303",245,242,239,235
E14000814,Mid Derbyshire,92,"84,333","84,841","85,123","84,837",915,921,924,921
E14000815,Mid Dorset and North Poole,176,"82,985","82,737","82,339","81,891",472,471,468,466
E14000816,Mid Norfolk,760,"106,983","105,925","104,681","103,829",141,139,138,137
E14000817,Mid Sussex,188,"113,534","112,448","111,967","110,744",604,598,595,589
E14000818,Mid Worcestershire,441,"103,431","101,762","99,791","98,487",235,231,226,223
E14000819,Middlesbrough,29,"95,925","95,892","95,512","94,794","3,291","3,290","3,277","3,253"
E14000820,Middlesbrough South and East Cleveland,197,"93,890","93,537","93,393","93,093",476,474,474,472
